index,ID,Breast (NAT)_sum,Breast (N)_sum,Breast (N-FA)_sum,Breast (T)_sum,Lung (NAT)_sum,Lung (T)_sum,Melanoma (T)_sum,Pancreas (T)_sum,Ovary (NAT)_sum,Ovary (N- fallop)_sum,Ovary (T)_sum,Colon (NAT)_sum,Colon (T)_sum,Bone (T)_sum,GBM (T)_sum
322,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
